state,county
CA,Santa Barbara
NY,Albany
NY,Bronx
NY,Dutchess
NY,Kings
NY,New York
NY,Ontario
NY,Putnam
NY,Queens
NY,Richmond
NY,Suffolk
NY,Sullivan
NY,Warren
